rating,review
3,"<p property=""reviewBody"" id=""review_159638302"">
As of May 2013, this attractions is open for the public 2:00 PM-5:00 PM (at least on Saturdays). This is contrary to previous information stating it was 10:00 AM-5:00 PM. I was unable to find another attraction in the area for visiting in the meantime, so I missed it.
</p>"
3,"<p property=""reviewBody"" id=""review_169698492"">
Only worth visiting if you are a tree hugger - otherwise, when you get there, you wonder why go! However, if you love botanics and trees, some unbelievable specimens of centennial trees like Ipês, Araucárias, jacarandás.
</p>"
4,"<p property=""reviewBody"" id=""review_361567302"">
A little bit far from city center, but cute. View is not a something unbelievable, but if you have nothing to do it's a nice activity.
</p>"
5,"<p property=""reviewBody"" id=""review_335892264"">
Atlantic rainforest at its very best. Second, perhaps, only to some places in Rio de Janeiro state, and at a great advantage due to the Serra Verde Express railway (sit on the left!), Morretes and the adjacent state park are gems that visitors to Paraná mustn't miss.
</p>"
3,"<p property=""reviewBody"" id=""review_386720161"">
The Linha Tourismo bus stops here so you can hop off and check this out. There was quite a lineup when we went on a Sunday afternoon. I'm not sure if that is usual. The elevator only holds about 4-6 people so it takes a while to get in and go up. Once you're up though you could spend some time up in the tower. There is amazing views of Curitiba and lots of room to move around comfortably. There is also a telephone museum on the main level as well as a small selection of souvenir items.
</p>"
3,"<p property=""reviewBody"" id=""review_386379498"">
The view is pretty sweet up there, you can see good part of the east part of the city and the big buildings in downtown, but it is very desorganized, with long lines and great delay, because it is only one elevator to go up there.
</p>"
5,"<p property=""reviewBody"" id=""review_402609787"">
If you're after a good view of the city the Panoramic Tower is the best place to start. On a clear day you'll see all of the CBD, surrounding parks and residential areas. Very cheap to visit at only R$5 per person with no time limit.
</p>"
4,"<p property=""reviewBody"" id=""review_119254087"">
Locals in a hurry and relaxed tourists find each other strolling by that gourgeous old urban pass.
</p>"
5,"<p property=""reviewBody"" id=""review_123468322"">
this street is quite famous since the start of the city. good place to watch the locals .. just take a walk, it´s safe , go to Mercado Publico from there to eat luch or something or a great coffee at Cafe do Mercado, the best in town. then 5 more minutes walking you´ll reach the Cathedral and plaza, 5 more minutes, there´s Casa de Cultura Mario Quintana.
</p>"
5,"<p property=""reviewBody"" id=""review_126776544"">
You'll see a little of everything - it's the real city, the ugly and the beautiful side by side.
</p>"
5,"<p property=""reviewBody"" id=""review_122406774"">
It there on the Atelier das massas, have a good pasta and see the center of the city
</p>"
3,"<p property=""reviewBody"" id=""review_145364315"">
It used to be the ""point"" of Porto Alegre where boys and girls walk and flirt. Today is not as nice as it was before and there is serious concerns about safety day and night.
</p>"
5,"<p property=""reviewBody"" id=""review_218534316"">
It is located near to the airport, in a small park made just for it, represents the typical brazilian gaucho and their garments, the gentleman that pose for it, still living in Porto Alegre.
</p>"
5,"<p property=""reviewBody"" id=""review_352043671"">
Worth seeing the nice exhibitions. The centro is in an old, but beautiful building. There is an old elevator as well. It is definitely worth seeing it.
</p>"
2,"<p property=""reviewBody"" id=""review_315698030"">
Maybe if you are Independent Presbiterian you would like to visit this place. It can be said that this building adds a touch of character to the very few historic buildings that ""o progresso"" left standing in the old district of this city.
</p>"
5,"<p property=""reviewBody"" id=""review_340176883"">
A beautiful place, the localization in the ""Largo da Ordem"", the historical place with the many pubs and architecture of colonization of Curitiba city. I recommend a lot.
</p>"
5,"<p property=""reviewBody"" id=""review_365374625"">
So, I married in this church. The church are located in the centre of downtown, in the ""Largo da Ordem"", is the importance zone for the Curitiba city because she make part of the colonization time. In the interior of the church you can see a beautiful structure.
</p>"
5,"<p property=""reviewBody"" id=""review_268050115"">
If you are coming to Porto Alegre this statue is a must. It is very close to the airport so it should not be difficult to go there either on the arrival or when living.<br><br>It is a 10 minutes stop that will allow you to take a picture of the main Porto Alegre symbol. There is no better icon for this city than this statue.
</p>"
2,"<p property=""reviewBody"" id=""review_230114067"">
It is a cultural symbol of Rio Grande do Sul, as it represents the Gaucho.<br>The Laçador by itself does not make sense to visit, but if you want a photograph that represent the truly soul of the people who lives in Rio Grande it is a must.<br>Easy to reach by car or train.
</p>"
3,"<p property=""reviewBody"" id=""review_418056242"">
Don't loose your time to go there, just stop by. It's a symbol of Porto Alegre but it is in a tiny place in the middle of a road. domee friends went there and became disapointed.
</p>"
5,"<p property=""reviewBody"" id=""review_319965525"">
Man the music here is awesome, talented players and leadership are great. Went here once in April 2013 as I was staying in Cwb Hostel then shifted. Was impressed by the people here, recommend the place
</p>"
5,"<p property=""reviewBody"" id=""review_242747643"">
It's another ""must see"" if you like panoramic views and/or understanding the town's architecture. It's noticeable the way buildings are taller near the main streets and also nice to see the contrast between the wall of buildings at one side of Padre Agostinho Street and the Barigui Park at the other side.
</p>"
4,"<p property=""reviewBody"" id=""review_267940308"">
Not too much going on here, but the view is amazing. We went at sunset and I would highly recommend it. Very cheap and very nice place to see the city.
</p>"
3,"<p property=""reviewBody"" id=""review_244424710"">
If you would like to have a 360º view of the city of Curitiba, this is the perfect place to go. BUt if you don't have too much time to spend in Curitiba, you can leave this visit for another opportunity.
</p>"
5,"<p property=""reviewBody"" id=""review_126544375"">
There are 3 different stages. Here you can find very good plays, musical shows, dance and several other event concerning art and entertainment.
</p>"
4,"<p property=""reviewBody"" id=""review_319306764"">
The Gasômetro is one of the most beloved cultural spots of Porto Alegre. Located by the river, it houses many exhibitions, plays, fairs etc.
</p>"
3,"<p property=""reviewBody"" id=""review_346031371"">
Sometimes they have exhibitions, but the main thing is the sunset on the Guaiba. It`s amazing and worth the trip!!
</p>"
3,"<p property=""reviewBody"" id=""review_342177636"">
A simple place to walk around and talk to the people. You can go to the roof and see a beautiful sunset over the river.
</p>"
5,"<p property=""reviewBody"" id=""review_359711442"">
Usina do Gasometro has an amazing view to Guaíba River. Prefer to go at the end of the afternoon.<br>robertasalomone.com/trips
</p>"
1,"<p property=""reviewBody"" id=""review_368945572"">
Unfortunately, the place looks like it has been abondaned many years ago. There is a center of touristic information at the entrance, but when I've visited it was closed (friday morning around 10am). Inside the place there isn't a guide explaining about the attraction and each floor is completely empty! Only at the fourth floor there is a open view from the city ( nevertheless the attraction don't deserve a visit because of this).<br>I really do not recommend the visit.
</p>"
4,"<p property=""reviewBody"" id=""review_374001286"">
a place for sure to be visited. Here u«you can learn history a realised how things really work. I recommed a visit
</p>"
2,"<p property=""reviewBody"" id=""review_382915139"">
The Usina do Gasometro is an icon of Porto Alegre. The main reason is because it's pretty well located. However, the cultural center is poor and there is nothing special around.
</p>"
4,"<p property=""reviewBody"" id=""review_431285429"">
Lots of work now on the outside grounds, so no sunset watching allowed. I hope it gets back to normal sooner than later.<br>
</p>"
2,"<p property=""reviewBody"" id=""review_452829581"">
The ""gasometro"" looks like an unesthetical empty warehouse. <br>One can go to the top of it, but the windows distract from enjoying the view. It's not really worth it to visit this building.
</p>"
5,"<p property=""reviewBody"" id=""review_466778589"">
Do not bother going into the cultural house unless you are interested in exhibitions. The Gasômetro is an icon of the city, known for being a good place for afternoon picnics and having a great sunset view. Take a walk by the river and enjoy the day to relax or rent a bike.
</p>"
2,"<p property=""reviewBody"" id=""review_123916909"">
Obscure philarmonic selection, poor difussion of good artists and concerts.
</p>"
4,"<p property=""reviewBody"" id=""review_124832375"">
Nice big and clean auditorium and very professional staff.
</p>"
5,"<p property=""reviewBody"" id=""review_280950009"">
At this place, you can see the city in all directions.<br>There are good informations and city maps that makes possible to orient and also the main tourist spots localization.<br>Is possible to see in good details Barigui Park, the city center, and an incredible amout of buildings :D.<br>On the main entrance, take your time to check the old telephony structure showroom.<br>It is cheap and worth
</p>"
4,"<p property=""reviewBody"" id=""review_317334600"">
Stellar panoramic views from high above Curitiba. This touristy-attraction is also popular among locals, so be prepared to wait for entrance. The best time to go is later in the afternoon so you can hopefully catch the awesome sunset.
</p>"
3,"<p property=""reviewBody"" id=""review_322718270"">
The tower offers good views of Curitiba but if you do not know the city you will probably not find it that interesting as there are very few landmarks.
</p>"
4,"<p property=""reviewBody"" id=""review_309825285"">
Quite an unusual place where the visitor will be surprised to see what this old ""factory"" or energy generator contains behind its walls - a bit of everything concerning the arts and the local culture. It sits right on the water front.
</p>"
3,"<p property=""reviewBody"" id=""review_260609090"">
We learned a lot but were unable to find any machines. We thought there may be more of a museum on the inside but only found a cinema. We also didn't have time to walk all the way up to the top, so there may have been more up there. Otherwise a nice break from walking along the water. Theres a small cafe attached to the cinema that made us a tasty cold coffee drink with ice cream. Id recommend checking it out.
</p>"
5,"<p property=""reviewBody"" id=""review_193195064"">
The ""Oi"" communications tower rises nearly a hundred meters above Curitiba. The elevator only accommodates six customers but it's a quick ride to the observation platform with the very best 360 panoramic view of the city. This is a must see if you want to get a good idea of the sheer size of this bustling southern Brazilian city.
</p>"
5,"<p property=""reviewBody"" id=""review_240057009"">
Take the time to venture to the GasWorks in Porto Alegre. It is like an outdoor mall, with vendors offering cheap food, souvenirs, and drink - the hot mulled wine was my favorite. As the sun goes down, climb the stairs inside the restored gasworks factory to see the exhibits there. Looking out over the water, you can see the night lights strung across the mall and enjoy the evening breeze. When I was there, several sculptures were on display at the roof level. Free admission and local flavor were two more advantages to this memorable attraction.
</p>"
